,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
0,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
1,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
2,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
3,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
4,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
5,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
6,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
7,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
8,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
9,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
10,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
11,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
12,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
13,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
14,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
15,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
16,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
17,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
18,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
19,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
20,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
21,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
22,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
23,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
24,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
25,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
26,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
27,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
28,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
29,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
30,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
31,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
32,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
33,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
34,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
35,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
36,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
37,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
38,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
39,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
40,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
41,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
42,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
43,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
44,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
45,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
